ResponseId,Age,Gender ,Postcode,Edu Level,Risk Perception,WillCOV,WillPf,WillAsZ ,VAX,BIS,BAS,Frame
R_2D823HLWbPXEser,66,2,2607,3,5,3,3,3,4.833333333,2.857142857,2.384615385,Negative
R_1Qi8G1tNC3tSZlT,54,1,4128,3,3,3,4,1,4.166666667,3.142857143,2.769230769,Negative
R_1q3OusU1CrBcUeS,65,1,2640,4,3,3,4,1,4.166666667,2.428571429,2.230769231,Positive
R_2bPhM4K0xEZzcpK,42,2,4405,3,3,4,4,4,4.75,3.285714286,3.307692308,Negative
R_NUQq79XZm7SrrGN,74,1,2220,3,5,2,4,1,2.583333333,1.714285714,2.923076923,Positive
R_2645mPaUHaHQV75,78,2,5113,3,5,5,5,4,3.75,3,2.846153846,Positive
R_AvcyRTC98Sjw5Pj,77,1,2463,4,4,4,4,3,3.083333333,3,2.846153846,Positive
R_3qJ2fXUAFl5JJZF,68,2,6163,3,4,5,5,2,2.833333333,2.857142857,2.923076923,Positive
R_2RV5wDXxwN8MFvF,73,2,2154,1,3,1,1,1,3.666666667,2.571428571,1.692307692,Positive
R_3J4blgQNMxu3I9c,72,2,3021,4,5,1,3,1,4.416666667,2.714285714,3.153846154,Positive
R_5AoDf0ezYe3qwZb,81,2,2035,2,4,4,5,3,2.916666667,3,2.769230769,Positive
R_ApKQAMmGpkpZkIh,67,1,5127,2,4,5,5,5,1.833333333,4,3,Negative
R_1k0QNdXzZnFE36o,65,1,2567,2,4,4,5,2,2.25,2.428571429,2.461538462,Negative
R_1gcDvFaJn5AEwIV,67,1,4313,1,2,5,5,3,3.083333333,2.714285714,2.692307692,Negative
R_25AryQO1AFd0HIX,65,1,3076,3,2,2,2,3,5.833333333,2.285714286,2.692307692,Negative
R_RqREBayOW5Yd6JX,67,1,2112,2,4,1,1,1,4.333333333,2.571428571,2.153846154,Positive
R_5avJuVPS4BFx7Xz,74,2,3975,3,5,3,4,2,2.75,2.285714286,2.461538462,Negative
R_2zxdRdH0K5R2X46,65,1,830,3,4,3,4,3,4.333333333,2.285714286,2.461538462,Positive
R_3oC9zuM4mYCBT5q,68,2,3280,4,5,1,1,1,2.833333333,3.857142857,2.846153846,Negative
R_Rem51YzgyW3POfL,66,2,3810,2,2,4,5,1,2.083333333,2.571428571,3.153846154,Negative
R_2DOlcYHG1m1k1gB,69,2,3314,4,4,5,5,4,3.666666667,3.571428571,3.076923077,Negative
R_1DxbjnEtirKYAYo,66,1,2749,1,1,4,1,3,2.583333333,3,2.615384615,Positive
R_ApTzT8OHWDkGQDv,67,2,2820,2,5,5,5,5,1.833333333,1.714285714,2.923076923,Positive
R_2aqOneIjZZMBN4R,75,1,3136,2,3,4,5,2,3.25,2.428571429,2.615384615,Positive
R_28NYLxwwwM7Cb7K,70,2,3429,2,1,3,4,1,5.25,2.857142857,2.461538462,Negative
